date,product,stations,price
2020-11-30,unleaded95,3685,1.419
2020-11-27,unleaded95,3667,1.417
2020-11-26,unleaded95,3611,1.416
2020-11-25,unleaded95,3595,1.415
2020-11-23,unleaded95,3519,1.416
2020-11-20,unleaded95,3584,1.416
2020-11-19,unleaded95,3602,1.416
2020-11-18,unleaded95,3625,1.415
2020-11-17,unleaded95,3549,1.414
2020-11-11,unleaded95,3582,1.408
2020-11-10,unleaded95,3537,1.408
2020-11-09,unleaded95,3473,1.408
2020-11-06,unleaded95,3575,1.408
2020-11-05,unleaded95,3581,1.409
2020-11-04,unleaded95,3556,1.411
2020-11-03,unleaded95,3466,1.412
2020-11-02,unleaded95,3370,1.413
2020-10-30,unleaded95,3508,1.417
2020-10-29,unleaded95,3489,1.418
2020-10-27,unleaded95,3433,1.419
2020-10-26,unleaded95,3403,1.42
2020-10-23,unleaded95,3440,1.421
2020-10-22,unleaded95,3402,1.422
2020-10-21,unleaded95,3365,1.423
2020-10-20,unleaded95,3258,1.422
2020-10-19,unleaded95,3167,1.422
2020-10-16,unleaded95,3131,1.423
2020-10-15,unleaded95,3041,1.423
2020-10-14,unleaded95,3046,1.423
2020-10-13,unleaded95,2993,1.423
2020-10-12,unleaded95,2962,1.423
2020-10-09,unleaded95,3081,1.423
2020-10-08,unleaded95,3121,1.424
2020-10-07,unleaded95,3167,1.424
2020-10-05,unleaded95,3120,1.424
2020-10-02,unleaded95,3262,1.425
2020-10-01,unleaded95,3322,1.424
2020-09-30,unleaded95,3387,1.423
2020-09-29,unleaded95,3362,1.423
2020-09-28,unleaded95,3344,1.423
2020-09-25,unleaded95,3501,1.424
2020-09-24,unleaded95,3490,1.424
2020-09-23,unleaded95,3513,1.424
2020-09-22,unleaded95,3451,1.423
2020-09-21,unleaded95,3396,1.423
2020-09-18,unleaded95,3408,1.423
2020-09-16,unleaded95,3329,1.426
2020-09-14,unleaded95,3165,1.428
2020-09-11,unleaded95,3275,1.431
2020-09-09,unleaded95,3161,1.432
2020-03-04,super,16,1.766
2020-03-03,super,17,1.769
2020-01-29,super,13,1.734
2020-01-28,super,12,1.729
2020-01-15,super,17,1.762
2020-01-14,super,17,1.762
2020-01-13,super,17,1.762
2020-01-10,unleaded95,3856,1.622
2020-01-09,super,18,1.749
2020-01-08,super,16,1.725
2020-01-07,super,16,1.722
2020-01-03,super,18,1.76
2020-01-02,super,16,1.763
2019-12-31,unleaded95,3293,1.596
2019-12-30,unleaded95,3319,1.594
2019-12-27,super,19,1.752
2019-12-24,super,18,1.755
2019-12-23,super,18,1.755
2019-12-20,super,14,1.726
2019-12-19,unleaded95,3198,1.59
2019-12-18,super,15,1.752
2019-12-17,unleaded95,3221,1.591
2019-12-16,unleaded95,3203,1.591
2019-12-13,super,11,1.789
2019-12-12,super,10,1.789
2019-12-11,unleaded95,3561,1.594
2019-12-10,super,10,1.811
2019-12-09,unleaded95,3517,1.596
2019-12-06,super,14,1.787
2019-12-05,super,15,1.781
2019-12-04,unleaded95,3581,1.597
2019-12-03,super,15,1.76
2019-12-02,unleaded95,3463,1.597
2019-11-29,super,16,1.766
2019-11-28,super,16,1.766
2019-11-27,unleaded95,3305,1.591
2019-11-26,unleaded95,3214,1.59
2019-11-25,super,17,1.775
2019-11-22,unleaded95,3352,1.588
2019-11-21,unleaded95,3350,1.589
2019-11-20,super,17,1.788
2019-11-19,super,18,1.795
2019-11-18,super,17,1.795
2019-11-15,super,14,1.788
2019-11-14,super,15,1.786
2019-11-13,super,14,1.775
